array_type,size,algorithm,time_microseconds,char_operations
Common prefixes,1500,MsdRadixSort,326.91,21744
Common prefixes,1500,MsdRadixQuickSort,193.06,21159
Random,1600,MergeSort,534.17,20756
Random,1600,QuickSort,205.79,237333
Random,1600,StringMergeSort,1296.38,13662
Random,1600,StringQuickSort,33.91,26604
Random,1600,MsdRadixSort,187.12,7262
Random,1600,MsdRadixQuickSort,77.97,11951
Reverse sorted,1600,MergeSort,419.31,12962
Reverse sorted,1600,QuickSort,135.30,235299
Reverse sorted,1600,StringMergeSort,1214.41,5825
Reverse sorted,1600,StringQuickSort,23.17,21160
Reverse sorted,1600,MsdRadixSort,224.02,7730
Reverse sorted,1600,MsdRadixQuickSort,79.06,11858
Almost sorted,1600,MergeSort,389.92,20095
Almost sorted,1600,QuickSort,194.43,234113
Almost sorted,1600,StringMergeSort,1181.43,7678
Almost sorted,1600,StringQuickSort,29.42,22652
Almost sorted,1600,MsdRadixSort,187.29,7632
Almost sorted,1600,MsdRadixQuickSort,75.92,11814
Common prefixes,1600,MergeSort,576.53,72847
Common prefixes,1600,QuickSort,313.54,316790
Common prefixes,1600,StringMergeSort,1442.43,20133
Common prefixes,1600,StringQuickSort,36.02,39213
Common prefixes,1600,MsdRadixSort,350.68,23242
Common prefixes,1600,MsdRadixQuickSort,215.12,22695
Random,1700,MergeSort,562.46,22363
Random,1700,QuickSort,234.14,262010
Random,1700,StringMergeSort,1425.59,14651
Random,1700,StringQuickSort,35.79,26887
Random,1700,MsdRadixSort,200.18,7764
Random,1700,MsdRadixQuickSort,125.72,13144
Reverse sorted,1700,MergeSort,413.93,13963
Reverse sorted,1700,QuickSort,147.61,238181
Reverse sorted,1700,StringMergeSort,1361.77,6292
Reverse sorted,1700,StringQuickSort,23.24,22696
Reverse sorted,1700,MsdRadixSort,221.59,8230
Reverse sorted,1700,MsdRadixQuickSort,84.93,12631
Almost sorted,1700,MergeSort,487.47,21439
Almost sorted,1700,QuickSort,171.61,255944
Almost sorted,1700,StringMergeSort,1382.85,8093
Almost sorted,1700,StringQuickSort,28.27,25327
Almost sorted,1700,MsdRadixSort,208.26,8118
Almost sorted,1700,MsdRadixQuickSort,85.33,12596
Common prefixes,1700,MergeSort,707.23,78206
Common prefixes,1700,QuickSort,287.40,332447
Common prefixes,1700,StringMergeSort,1435.22,21526
Common prefixes,1700,StringQuickSort,65.50,42092
Common prefixes,1700,MsdRadixSort,384.29,24688
Common prefixes,1700,MsdRadixQuickSort,264.52,24177
Random,1800,MergeSort,591.93,23949
Random,1800,QuickSort,236.55,277085
Random,1800,StringMergeSort,1520.60,15606
Random,1800,StringQuickSort,34.70,28050
Random,1800,MsdRadixSort,215.38,8282
Random,1800,MsdRadixQuickSort,95.25,14213
Reverse sorted,1800,MergeSort,457.12,14938
Reverse sorted,1800,QuickSort,152.01,241722
Reverse sorted,1800,StringMergeSort,1367.27,6630
Reverse sorted,1800,StringQuickSort,32.54,24461
Reverse sorted,1800,MsdRadixSort,258.35,8734
Reverse sorted,1800,MsdRadixQuickSort,87.22,13423
Almost sorted,1800,MergeSort,505.66,23018
Almost sorted,1800,QuickSort,187.17,268736
Almost sorted,1800,StringMergeSort,1375.30,8739
Almost sorted,1800,StringQuickSort,28.92,25677
Almost sorted,1800,MsdRadixSort,213.59,8592
Almost sorted,1800,MsdRadixQuickSort,90.10,13385
Common prefixes,1800,MergeSort,635.57,83716
Common prefixes,1800,QuickSort,274.51,363846
Common prefixes,1800,StringMergeSort,1539.86,22869
Common prefixes,1800,StringQuickSort,50.20,43361
Common prefixes,1800,MsdRadixSort,403.97,26150
Common prefixes,1800,MsdRadixQuickSort,280.35,25708
Random,1900,MergeSort,663.17,25575
Random,1900,QuickSort,253.72,297703
Random,1900,StringMergeSort,1605.40,16584
Random,1900,StringQuickSort,44.28,29877
Random,1900,MsdRadixSort,263.75,8754
Random,1900,MsdRadixQuickSort,103.23,15000
Reverse sorted,1900,MergeSort,466.49,15887
Reverse sorted,1900,QuickSort,143.22,241285
Reverse sorted,1900,StringMergeSort,1454.43,7045
Reverse sorted,1900,StringQuickSort,28.37,25700
Reverse sorted,1900,MsdRadixSort,278.18,9220
Reverse sorted,1900,MsdRadixQuickSort,98.92,14144
Almost sorted,1900,MergeSort,526.98,24401
Almost sorted,1900,QuickSort,196.68,282564
Almost sorted,1900,StringMergeSort,1469.08,9323
Almost sorted,1900,StringQuickSort,30.97,27048
Almost sorted,1900,MsdRadixSort,233.75,9076
Almost sorted,1900,MsdRadixQuickSort,101.63,14133
Common prefixes,1900,MergeSort,717.80,89457
Common prefixes,1900,QuickSort,295.74,378452
Common prefixes,1900,StringMergeSort,1613.36,24307
Common prefixes,1900,StringQuickSort,49.04,48787
Common prefixes,1900,MsdRadixSort,443.45,27698
Common prefixes,1900,MsdRadixQuickSort,328.82,27331
Random,2000,MergeSort,640.85,27248
Random,2000,QuickSort,329.63,312135
Random,2000,StringMergeSort,1675.70,17594
Random,2000,StringQuickSort,43.27,32014
Random,2000,MsdRadixSort,241.17,9278
Random,2000,MsdRadixQuickSort,104.42,16014
Reverse sorted,2000,MergeSort,516.66,17077
Reverse sorted,2000,QuickSort,142.94,240798
Reverse sorted,2000,StringMergeSort,1489.57,7545
Reverse sorted,2000,StringQuickSort,28.76,27093
Reverse sorted,2000,MsdRadixSort,339.92,9690
Reverse sorted,2000,MsdRadixQuickSort,111.11,14869
Almost sorted,2000,MergeSort,552.50,25519
Almost sorted,2000,QuickSort,219.64,300212
Almost sorted,2000,StringMergeSort,1528.57,9799
Almost sorted,2000,StringQuickSort,35.73,30614
Almost sorted,2000,MsdRadixSort,248.80,9554
Almost sorted,2000,MsdRadixQuickSort,105.20,14899
Common prefixes,2000,MergeSort,792.68,94897
Common prefixes,2000,QuickSort,302.51,396004
Common prefixes,2000,StringMergeSort,1639.26,25553
Common prefixes,2000,StringQuickSort,53.62,48957
Common prefixes,2000,MsdRadixSort,491.24,29162
Common prefixes,2000,MsdRadixQuickSort,289.44,28811
Random,2100,MergeSort,736.72,28870
Random,2100,QuickSort,287.33,329000
Random,2100,StringMergeSort,1781.90,18610
Random,2100,StringQuickSort,54.42,35463
Random,2100,MsdRadixSort,300.73,9810
Random,2100,MsdRadixQuickSort,104.13,17268
Reverse sorted,2100,MergeSort,490.79,17974
Reverse sorted,2100,QuickSort,157.89,250866
Reverse sorted,2100,StringMergeSort,1628.93,7907
Reverse sorted,2100,StringQuickSort,32.52,29239
Reverse sorted,2100,MsdRadixSort,310.87,10182
Reverse sorted,2100,MsdRadixQuickSort,113.01,15590
Almost sorted,2100,MergeSort,639.61,27115
Almost sorted,2100,QuickSort,217.83,315449
Almost sorted,2100,StringMergeSort,1633.74,10388
Almost sorted,2100,StringQuickSort,36.30,30370
Almost sorted,2100,MsdRadixSort,278.58,10044
Almost sorted,2100,MsdRadixQuickSort,127.16,15681
Common prefixes,2100,MergeSort,780.33,100788
Common prefixes,2100,QuickSort,438.58,428150
Common prefixes,2100,StringMergeSort,1796.75,27010
Common prefixes,2100,StringQuickSort,60.39,52238
Common prefixes,2100,MsdRadixSort,521.12,30648
Common prefixes,2100,MsdRadixQuickSort,293.13,30390
Random,2200,MergeSort,775.35,30618
Random,2200,QuickSort,284.87,340468
Random,2200,StringMergeSort,1842.34,19597
Random,2200,StringQuickSort,48.70,38781
Random,2200,MsdRadixSort,326.97,10326
Random,2200,MsdRadixQuickSort,119.14,18464
Reverse sorted,2200,MergeSort,505.84,18777
Reverse sorted,2200,QuickSort,173.37,275817
Reverse sorted,2200,StringMergeSort,1697.08,8262
Reverse sorted,2200,StringQuickSort,33.16,30740
Reverse sorted,2200,MsdRadixSort,299.62,10690
Reverse sorted,2200,MsdRadixQuickSort,117.81,16360
Almost sorted,2200,MergeSort,647.03,28816
Almost sorted,2200,QuickSort,237.39,320979
Almost sorted,2200,StringMergeSort,1720.83,10947
Almost sorted,2200,StringQuickSort,37.38,32845
Almost sorted,2200,MsdRadixSort,310.75,10528
Almost sorted,2200,MsdRadixQuickSort,118.11,16460
Common prefixes,2200,MergeSort,891.57,106832
Common prefixes,2200,QuickSort,362.68,436803
Common prefixes,2200,StringMergeSort,1883.83,28441
Common prefixes,2200,StringQuickSort,65.47,57793
Common prefixes,2200,MsdRadixSort,493.69,32162
Common prefixes,2200,MsdRadixQuickSort,303.02,32051
Random,2300,MergeSort,844.37,32267
Random,2300,QuickSort,309.39,362454
Random,2300,StringMergeSort,1951.05,20597
Random,2300,StringQuickSort,58.98,46209
Random,2300,MsdRadixSort,304.67,10892
Random,2300,MsdRadixQuickSort,140.39,19243
Reverse sorted,2300,MergeSort,568.19,19410
Reverse sorted,2300,QuickSort,187.73,297909
Reverse sorted,2300,StringMergeSort,2003.03,8415
Reverse sorted,2300,StringQuickSort,36.74,32082
Reverse sorted,2300,MsdRadixSort,320.33,11204
Reverse sorted,2300,MsdRadixQuickSort,119.60,17154
Almost sorted,2300,MergeSort,684.44,30505
Almost sorted,2300,QuickSort,252.65,340230
Almost sorted,2300,StringMergeSort,1823.49,11695
Almost sorted,2300,StringQuickSort,43.53,33449
Almost sorted,2300,MsdRadixSort,291.69,11024
Almost sorted,2300,MsdRadixQuickSort,121.83,17240
Common prefixes,2300,MergeSort,888.68,112682
Common prefixes,2300,QuickSort,363.34,476532
Common prefixes,2300,StringMergeSort,2012.08,29970
Common prefixes,2300,StringQuickSort,79.74,56401
Common prefixes,2300,MsdRadixSort,504.32,33642
Common prefixes,2300,MsdRadixQuickSort,346.17,33657
Random,2400,MergeSort,800.93,33988
Random,2400,QuickSort,346.52,375949
Random,2400,StringMergeSort,2051.31,21655
Random,2400,StringQuickSort,60.74,40500
Random,2400,MsdRadixSort,313.10,11414
Random,2400,MsdRadixQuickSort,130.27,20263
Reverse sorted,2400,MergeSort,569.32,20078
Reverse sorted,2400,QuickSort,204.70,320248
Reverse sorted,2400,StringMergeSort,1897.69,8706
Reverse sorted,2400,StringQuickSort,36.37,33795
Reverse sorted,2400,MsdRadixSort,326.18,11686
Reverse sorted,2400,MsdRadixQuickSort,124.43,17862
Almost sorted,2400,MergeSort,704.48,32337
Almost sorted,2400,QuickSort,276.44,356387
Almost sorted,2400,StringMergeSort,1953.97,12302
Almost sorted,2400,StringQuickSort,42.27,35404
Almost sorted,2400,MsdRadixSort,314.77,11534
Almost sorted,2400,MsdRadixQuickSort,130.39,18135
Common prefixes,2400,MergeSort,903.93,118007
Common prefixes,2400,QuickSort,413.00,475144
Common prefixes,2400,StringMergeSort,2099.21,31301
Common prefixes,2400,StringQuickSort,61.72,62729
Common prefixes,2400,MsdRadixSort,589.58,35068
Common prefixes,2400,MsdRadixQuickSort,374.26,35217
Random,2500,MergeSort,941.70,35781
